"","Order","PID","MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Lot.Shape","Land.Contour","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Yr.Blt","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition","SalePrice","has.alley","Has.Basement","Has.Fireplace","Has.Garage","Has.Pool","Has.Wood.Deck","Has.Open.Porch","Has.X3Ssn.Porch","Has.Screen.Porch"
"1440",1440,907187080,"20","RL",93,9382,"Pave",1,"Lvl","other",0,"CollgCr","norm","norm","1Fam","1Story",7,5,1999,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",125,3,"TA","PConc",4,3,1,"Unf",0,"Unf",0,1468,1468,"GasA",4,"Y","SBrkr",1479,0,0,1479,0,0,2,0,3,1,3,6,"Typ",0,0,"Attchd",1999,2,2,577,3,"TA","Paved",0,0,0,7,2008,"WD ","Normal",191000,"0",1,1,0,0,1,1,0,0
"1232",1232,535105060,"20","RL",80,8400,"Pave",0,"Lvl","Inside",0,"NAmes","norm","norm","1Fam","1Story",6,9,1962,2005,"Gable","CompShg","other","Wd Sdng","BrkFace",237,3,"Gd","CBlock",3,3,1,"Unf",0,"Unf",0,1319,1319,"GasA",2,"Y","SBrkr",1537,0,0,1537,1,0,1,1,3,1,3,7,"Typ",1,4,"Attchd",1962,2,2,462,3,"TA","Paved",4,0,0,7,2008,"other","Abnorml",174000,"0",1,0,0,0,0,1,0,0
"2373",2373,527451520,"160","other",21,1680,"Pave",0,"Lvl","Inside",0,"BrDale","norm","norm","Twnhs","2Story",6,5,1972,1972,"Gable","CompShg","HdBoard","HdBoard","BrkFace",297,2,"TA","CBlock",3,3,1,"Unf",0,"Unf",0,483,483,"GasA",2,"Y","SBrkr",483,504,0,987,0,0,1,1,2,1,2,5,"Typ",1,1,"Attchd",1972,1,1,288,3,"TA","Paved",0,0,0,6,2006,"WD ","Normal",94500,"0",1,0,0,0,0,0,0,0
"462",462,528186180,"120","RL",48,6240,"Pave",0,"Lvl","Inside",0,"NridgHt","norm","norm","TwnhsE","1Story",8,5,2006,2006,"Hip","CompShg","other","MetalSd","BrkFace",176,3,"TA","PConc",4,3,1,"GLQ",863,"Unf",0,461,1324,"GasA",4,"Y","SBrkr",1324,0,0,1324,1,0,2,0,2,1,3,6,"Typ",1,4,"Attchd",2006,3,2,550,3,"TA","Paved",0,0,0,12,2009,"WD ","Normal",254000,"0",1,0,0,0,1,1,0,0
"484",484,528275070,"60","RL",68,8795,"Pave",1,"Lvl","Inside",0,"Gilbert","norm","norm","1Fam","2Story",7,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"TA","PConc",4,3,1,"GLQ",300,"Unf",0,652,952,"GasA",4,"Y","SBrkr",980,1276,0,2256,0,0,2,1,4,1,3,8,"Typ",1,3,"BuiltIn",2000,3,2,554,3,"TA","Paved",0,0,0,4,2009,"WD ","Normal",236000,"0",1,0,0,0,1,1,0,0
"2720",2720,905200280,"50","RL",68,13650,"Pave",0,"Lvl","Inside",0,"Sawyer","norm","norm","1Fam","1.5Fin",5,5,1958,1958,"Gable","CompShg","other","MetalSd","None",0,3,"Gd","CBlock",3,3,1,"ALQ",57,"other",441,554,1052,"GasA",4,"Y","SBrkr",1252,668,0,1920,1,0,2,0,4,1,3,8,"Typ",1,4,"Attchd",1958,1,2,451,3,"TA","Paved",0,0,0,7,2006,"WD ","Normal",172500,"0",1,0,0,0,0,0,0,0
"125",125,534425310,"85","RL",80,8800,"Pave",0,"Lvl","Inside",0,"NAmes","other","norm","1Fam","SFoyer",6,7,1963,1963,"Gable","CompShg","other","MetalSd","BrkFace",156,2,"Gd","PConc",3,3,4,"GLQ",763,"Unf",0,173,936,"GasA",4,"Y","SBrkr",1054,0,0,1054,1,0,1,0,3,1,3,6,"Typ",0,0,"Attchd",1963,2,2,480,3,"TA","Paved",NA,0,0,5,2010,"WD ","Abnorml",137500,"0",1,1,0,0,1,0,0,0
"2389",2389,528118110,"60","RL",120,13975,"Pave",1,"Lvl","other",0,"NridgHt","norm","norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","VinylSd","VinylSd","BrkFace",525,3,"TA","PConc",4,3,3,"Unf",0,"Unf",0,1090,1090,"GasA",4,"Y","SBrkr",1117,1089,0,2206,0,0,2,1,4,1,4,10,"Typ",1,4,"BuiltIn",2005,3,3,670,3,"TA","Paved",0,0,0,8,2006,"New","Partial",300000,"0",1,0,0,0,1,1,0,0
"512",512,528439060,"20","RL",76,9139,"Pave",1,"Lvl","Inside",0,"Somerst","norm","norm","1Fam","1Story",8,5,2006,2006,"Hip","CompShg","VinylSd","VinylSd","other",206,3,"TA","PConc",5,3,3,"GLQ",379,"Unf",0,1043,1422,"GasA",4,"Y","SBrkr",1432,0,0,1432,0,0,2,0,3,1,3,7,"Typ",1,4,"Attchd",2006,3,2,492,3,"TA","Paved",0,0,0,9,2009,"WD ","Normal",245000,"0",1,0,0,0,1,1,0,0
"446",446,528142150,"20","RL",90,12878,"Pave",1,"Lvl","other",0,"NridgHt","norm","norm","1Fam","1Story",7,5,2003,2004,"Hip","CompShg","VinylSd","VinylSd","BrkFace",418,3,"TA","PConc",4,3,1,"ALQ",1262,"Unf",0,498,1760,"GasA",4,"Y","SBrkr",1760,0,0,1760,1,0,2,0,3,1,3,8,"Typ",1,4,"Attchd",2003,3,2,583,3,"TA","Paved",0,0,0,6,2009,"WD ","Normal",269500,"0",1,0,0,0,1,1,0,0
"856",856,907202050,"20","RL",61,8800,"Pave",1,"Lvl","Inside",0,"CollgCr","norm","norm","1Fam","1Story",5,7,1977,2008,"Gable","CompShg","HdBoard","HdBoard","None",0,2,"TA","CBlock",4,3,2,"LwQ",532,"other",144,364,1040,"GasA",2,"Y","SBrkr",1040,0,0,1040,0,0,2,0,3,1,3,5,"Typ",0,0,"Detchd",1977,1,2,484,3,"TA","Paved",0,0,0,9,2009,"WD ","Normal",150500,"0",1,1,0,0,0,0,0,1
"2448",2448,528344060,"60","RL",78,12011,"Pave",1,"Lvl","other",0,"NoRidge","norm","norm","1Fam","2Story",8,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",530,3,"TA","PConc",4,3,3,"GLQ",956,"Unf",0,130,1086,"GasA",4,"Y","SBrkr",1086,838,0,1924,1,0,2,1,3,1,3,7,"Typ",1,3,"Attchd",1998,2,2,592,3,"TA","Paved",0,0,0,6,2006,"WD ","Normal",280000,"0",1,0,0,0,1,1,0,1
"2877",2877,910207110,"30","other",50,8765,"Pave",0,"Lvl","Inside",0,"IDOTRR","norm","norm","1Fam","1Story",4,6,1936,1950,"Gable","CompShg","other","Wd Sdng","None",0,2,"TA","BrkTil",3,3,1,"ALQ",285,"Unf",0,666,951,"GasA",4,"N","SBrkr",951,0,0,951,0,0,1,0,2,1,2,6,"Typ",0,0,"Detchd",1936,1,1,327,3,"TA","Paved",0,0,0,4,2006,"WD ","Abnorml",106500,"1",1,1,0,0,0,1,0,0
"430",430,528108130,"20","RL",95,12350,"Pave",0,"Lvl","Inside",0,"NridgHt","norm","norm","1Fam","1Story",9,5,2008,2008,"Hip","CompShg","VinylSd","VinylSd","other",450,4,"TA","PConc",5,3,3,"GLQ",1232,"Unf",0,788,2020,"GasA",4,"Y","SBrkr",2020,0,0,2020,1,0,2,0,3,1,4,7,"Typ",1,4,"Attchd",2008,2,3,896,3,"TA","Paved",0,0,0,5,2009,"WD ","Normal",404000,"0",1,0,0,0,1,1,0,0
"60",60,528328100,"60","RL",108,14774,"Pave",1,"Lvl","other",0,"NoRidge","norm","norm","1Fam","2Story",9,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","BrkFace",165,3,"TA","PConc",4,3,1,"Unf",0,"Unf",0,1393,1393,"GasA",4,"Y","SBrkr",1422,1177,0,2599,0,0,2,1,4,1,3,10,"Typ",1,3,"BuiltIn",1999,3,3,779,3,"TA","Paved",0,0,0,5,2010,"WD ","Normal",333168,"0",1,0,0,0,1,1,0,0
"681",681,535452090,"20","RL",71,7350,"Pave",0,"Lvl","Inside",0,"NAmes","norm","norm","1Fam","1Story",5,6,1958,1958,"Hip","CompShg","other","other","None",0,2,"TA","CBlock",3,3,1,"Unf",0,"Unf",0,1041,1041,"GasA",3,"Y","SBrkr",1041,0,0,1041,0,0,1,0,3,1,2,6,"Typ",0,0,"Attchd",1958,2,1,294,3,"TA","Paved",2,0,0,3,2009,"WD ","Normal",128000,"0",1,1,0,0,0,0,0,0
"706",706,902201110,"50","other",50,6000,"Pave",0,"Lvl","Inside",0,"OldTown","norm","norm","1Fam","1.5Fin",5,7,1950,1970,"Gable","CompShg","other","Wd Sdng","None",0,2,"Ex","CBlock",3,3,1,"BLQ",384,"Unf",0,384,768,"GasA",2,"Y","other",768,560,0,1328,0,0,1,1,3,1,2,6,"Typ",0,0,"Detchd",1950,1,1,308,3,"TA","Paved",NA,0,0,3,2009,"WD ","Normal",129500,"0",1,1,0,0,0,1,0,0
"2716",2716,905107240,"20","RL",78,10335,"Pave",1,"Lvl","Inside",0,"Sawyer","norm","norm","1Fam","1Story",5,6,1968,1993,"Gable","CompShg","Plywood","Plywood","None",0,2,"TA","CBlock",3,3,1,"Rec",570,"Unf",0,891,1461,"GasA",3,"Y","SBrkr",1721,0,0,1721,0,0,2,1,3,1,2,7,"BelowTyp",1,3,"Attchd",1968,2,2,440,3,"TA","Paved",NA,0,0,7,2006,"WD ","Normal",180000,"0",1,0,0,0,0,1,0,0
"65",65,528382030,"60","RL",58,16770,"Pave",2,"Lvl","other",0,"NoRidge","norm","norm","1Fam","2Story",7,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",30,3,"TA","PConc",4,3,1,"Unf",0,"Unf",0,1195,1195,"GasA",3,"Y","SBrkr",1195,644,0,1839,0,0,2,1,4,1,2,7,"Typ",0,0,"Attchd",1998,3,2,486,3,"TA","Paved",0,0,0,6,2010,"WD ","Normal",221000,"0",1,1,0,0,0,1,0,0
"437",437,528118060,"60","RL",59,23303,"Pave",3,"Lvl","other",0,"NridgHt","norm","norm","1Fam","2Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","other",20,3,"TA","PConc",5,3,3,"GLQ",1230,"Unf",0,278,1508,"GasA",4,"Y","SBrkr",1508,1012,0,2520,1,0,2,1,5,1,4,10,"Typ",1,4,"BuiltIn",2007,3,3,640,3,"TA","Paved",0,0,0,6,2009,"WD ","Family",409900,"0",1,0,0,0,1,1,0,0
"2052",2052,905101200,"20","RL",61,7943,"Pave",0,"Lvl","Inside",0,"Sawyer","other","norm","1Fam","1Story",4,5,1961,1961,"Gable","CompShg","VinylSd","VinylSd","other",192,2,"Fa","CBlock",3,3,2,"Rec",903,"Unf",0,126,1029,"GasA",3,"Y","SBrkr",1029,0,0,1029,1,0,1,0,3,1,2,5,"Typ",0,0,"Attchd",1961,1,1,261,3,"TA","Paved",0,0,0,4,2007,"WD ","Normal",118500,"0",1,1,0,0,1,0,0,0
"2222",2222,909425270,"70","RL",75,13125,"Pave",0,"Lvl","Inside",0,"Crawfor","norm","norm","1Fam","2Story",7,6,1940,1984,"Gable","CompShg","other","Wd Sdng","None",0,2,"TA","CBlock",3,3,1,"BLQ",410,"Unf",0,390,800,"GasA",2,"Y","SBrkr",960,780,0,1740,0,0,1,1,3,1,2,6,"Typ",2,4,"Attchd",1940,1,1,240,3,"TA","Paved",0,0,0,7,2007,"other","Normal",219500,"0",1,0,0,0,0,0,0,0
"878",878,907290180,"120","other",68,4435,"Pave",0,"Lvl","Inside",0,"CollgCr","norm","norm","TwnhsE","1Story",6,5,2003,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",170,3,"TA","PConc",4,3,3,"GLQ",685,"Unf",0,163,848,"GasA",4,"Y","SBrkr",848,0,0,848,1,0,1,0,1,1,3,4,"Typ",0,0,"Attchd",2003,3,2,420,3,"TA","Paved",0,0,0,6,2009,"WD ","Normal",144000,"0",1,1,0,0,1,0,0,0
"360",360,527164020,"20","RL",58,7250,"Pave",0,"Lvl","Inside",0,"Gilbert","norm","norm","1Fam","1Story",6,5,1993,1993,"Gable","CompShg","HdBoard","HdBoard","BrkFace",45,2,"TA","PConc",4,3,1,"Unf",0,"Unf",0,1181,1181,"GasA",4,"Y","SBrkr",1190,0,0,1190,0,0,2,0,3,1,3,6,"Typ",1,3,"Attchd",1993,1,2,430,3,"TA","Paved",0,0,0,11,2009,"WD ","Normal",166000,"0",1,0,0,0,0,1,0,0
"576",576,533253070,"120","RL",61,3782,"Pave",1,"Lvl","other",0,"Greens","norm","norm","TwnhsE","1Story",8,5,1981,1981,"Gable","CompShg","other","Plywood","None",0,3,"TA","CBlock",4,3,4,"GLQ",960,"Unf",0,266,1226,"GasA",2,"Y","SBrkr",1226,0,0,1226,1,0,1,0,1,1,3,4,"Typ",2,3,"Attchd",1981,3,2,484,3,"TA","Paved",0,0,0,9,2009,"WD ","Normal",211500,"0",1,0,0,0,1,1,0,0
"1631",1631,527175130,"20","RL",160,18160,"Grvl",0,"Lvl","Inside",0,"Gilbert","norm","norm","1Fam","1Story",6,6,1964,1964,"Gable","CompShg","HdBoard","HdBoard","other",138,2,"TA","CBlock",3,3,3,"BLQ",550,"Unf",0,752,1302,"GasA",1,"Y","SBrkr",1128,0,0,1128,1,0,1,0,3,1,2,6,"Typ",1,3,"Attchd",1964,1,2,480,3,"TA","Unpaved",NA,0,0,3,2007,"WD ","Alloca",154204,"0",1,0,0,0,0,1,0,0
"950",950,914474070,"60","RL",71,12209,"Pave",1,"Lvl","other",0,"Mitchel","norm","norm","1Fam","2Story",6,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"TA","PConc",5,3,1,"ALQ",690,"Unf",0,114,804,"GasA",4,"Y","SBrkr",804,1157,0,1961,1,0,2,1,3,1,3,7,"Typ",1,3,"BuiltIn",2001,3,2,560,3,"TA","Paved",0,0,0,6,2009,"WD ","Normal",215000,"0",1,0,0,0,1,1,0,0
"1629",1629,527165100,"80","RL",68,9125,"Pave",1,"Lvl","Inside",0,"Gilbert","norm","norm","1Fam","SLvl",7,5,1992,1992,"Gable","CompShg","HdBoard","HdBoard","BrkFace",170,2,"TA","PConc",4,3,1,"Unf",0,"Unf",0,384,384,"GasA",3,"Y","SBrkr",812,670,0,1482,0,0,2,1,3,1,3,7,"Typ",1,3,"Attchd",1992,3,2,392,3,"TA","Paved",0,0,0,7,2007,"WD ","Normal",163900,"0",1,0,0,0,1,1,0,0
"566",566,533206020,"160","FV",32,2880,"Pave",0,"Lvl","Inside",0,"Somerst","norm","norm","Twnhs","2Story",7,5,2004,2005,"Gable","CompShg","other","MetalSd","None",0,3,"TA","PConc",4,3,1,"Unf",0,"Unf",0,1376,1376,"GasA",4,"Y","SBrkr",1376,1629,0,3005,0,0,2,1,3,1,3,9,"BelowTyp",1,3,"BuiltIn",2004,3,3,704,3,"TA","Paved",0,0,0,7,2009,"WD ","Normal",280750,"1",1,0,0,0,0,1,0,0
"1396",1396,905226110,"190","RL",68,10532,"Pave",0,"Lvl","other",0,"ClearCr","norm","norm","1Fam","1Story",5,3,1960,1960,"other","other","Plywood","Plywood","other",275,2,"TA","CBlock",3,3,2,"Rec",988,"Unf",0,0,988,"GasA",3,"Y","SBrkr",1721,0,0,1721,1,0,2,0,3,1,2,7,"BelowTyp",2,3,"Basment",1960,1,2,626,3,"TA","Paved",0,0,0,12,2008,"WD ","Abnorml",145000,"0",1,0,0,0,1,1,0,0
"2401",2401,528170040,"60","RL",56,20431,"Pave",2,"Lvl","Inside",0,"NridgHt","norm","norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","other","CmentBd","BrkFace",870,4,"TA","PConc",5,3,1,"GLQ",1410,"Unf",0,438,1848,"GasA",4,"Y","SBrkr",1848,880,0,2728,1,0,2,1,4,1,4,10,"Typ",2,5,"Attchd",2006,3,3,706,3,"TA","Paved",0,0,0,4,2006,"New","Partial",437154,"0",1,0,0,0,0,0,0,0
"901",901,908275110,"20","RL",70,11767,"Pave",0,"Lvl","Inside",0,"Edwards","norm","norm","1Fam","1Story",5,5,1956,1956,"Hip","CompShg","HdBoard","HdBoard","BrkFace",259,2,"TA","CBlock",3,3,1,"Rec",546,"Unf",0,604,1150,"GasA",4,"Y","SBrkr",1560,0,0,1560,0,0,1,0,2,1,2,7,"BelowTyp",1,3,"Attchd",1956,1,1,313,3,"TA","Paved",0,0,0,5,2009,"WD ","Normal",103500,"0",1,0,0,0,0,0,0,0
"1483",1483,907425015,"120","other",68,4426,"Pave",0,"Lvl","Inside",0,"CollgCr","norm","norm","TwnhsE","1Story",6,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",147,3,"TA","PConc",4,3,4,"GLQ",697,"Unf",0,151,848,"GasA",4,"Y","SBrkr",848,0,0,848,1,0,1,0,1,1,3,3,"Typ",1,3,"Attchd",2004,2,2,420,3,"TA","Paved",0,0,0,5,2008,"WD ","Normal",141000,"0",1,0,0,0,1,0,0,0
"2808",2808,907405030,"20","RL",70,9135,"Pave",0,"Lvl","Inside",0,"CollgCr","norm","norm","1Fam","1Story",6,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",120,3,"TA","PConc",4,3,3,"GLQ",340,"Unf",0,1342,1682,"GasA",4,"Y","SBrkr",1700,0,0,1700,1,0,2,0,3,1,3,7,"Typ",0,0,"Attchd",2003,2,2,544,3,"TA","Paved",0,0,0,5,2006,"WD ","Normal",200000,"0",1,1,0,0,1,1,0,0
"2653",2653,902204120,"50","other",50,6000,"Pave",0,"Lvl","Inside",0,"OldTown","norm","norm","1Fam","1.5Fin",5,7,1924,1950,"Gable","CompShg","other","MetalSd","BrkFace",145,2,"Gd","PConc",3,3,1,"Unf",0,"Unf",0,816,816,"GasA",4,"Y","SBrkr",816,750,0,1566,0,0,1,1,5,1,3,7,"Typ",0,0,"Detchd",1976,1,2,450,3,"TA","Paved",NA,0,0,8,2006,"WD ","Normal",139000,"0",1,1,0,0,1,0,0,0
"1042",1042,527450520,"160","other",21,1890,"Pave",0,"Lvl","Inside",0,"BrDale","norm","norm","Twnhs","2Story",6,6,1972,1972,"Gable","CompShg","HdBoard","HdBoard","BrkFace",422,2,"TA","CBlock",3,3,1,"LwQ",483,"Unf",0,0,483,"GasA",3,"Y","SBrkr",483,504,0,987,0,0,1,1,2,1,2,5,"Typ",0,0,"Detchd",1975,1,1,352,3,"TA","Paved",0,0,0,4,2008,"WD ","Normal",100500,"0",1,1,0,0,1,0,0,0
"765",765,904301100,"90","RL",68,10547,"Pave",1,"Lvl","Inside",0,"Edwards","norm","norm","Duplex","SFoyer",5,5,1978,1978,"Gable","CompShg","Plywood","Plywood","None",0,2,"TA","PConc",4,4,4,"GLQ",1152,"Unf",0,0,1152,"GasA",2,"Y","SBrkr",1152,0,0,1152,2,0,2,0,2,2,2,6,"Typ",0,0,"Detchd",1960,1,1,252,3,"Fa","Unpaved",0,0,0,7,2009,"WD ","Normal",159900,"0",1,1,0,0,0,0,0,0
"162",162,535450210,"50","RL",60,8064,"Pave",0,"Lvl","Inside",0,"NAmes","other","norm","1Fam","1.5Fin",6,8,1948,2004,"Gable","CompShg","other","other","None",0,2,"TA","CBlock",3,3,1,"ALQ",481,"other",174,161,816,"GasA",2,"Y","SBrkr",816,408,0,1224,1,0,1,0,3,1,2,5,"Typ",0,0,"Detchd",1950,1,1,280,3,"TA","Paved",2,0,0,5,2010,"WD ","Normal",132000,"0",1,1,0,0,1,0,0,0
"1220",1220,534451080,"20","RL",68,6627,"Pave",1,"Lvl","other",0,"BrkSide","other","norm","1Fam","1Story",3,6,1949,1950,"Hip","CompShg","VinylSd","VinylSd","None",0,2,"TA","CBlock",0,0,0,"No Basement",0,"other",0,0,0,"other",2,"N","SBrkr",720,0,0,720,0,0,1,0,2,1,2,4,"Typ",0,0,"Detchd",1955,1,1,287,3,"Fa","Paved",0,0,0,7,2008,"WD ","Normal",72500,"0",0,1,0,0,0,0,0,0
